,AFC Wimbledon, Aberdeen, Accrington Stanley, Arsenal, Aston Villa, Barnsley, Barrow, Birmingham City, Blackburn Rovers, Blackpool, Bolton Wanderers, Bournemouth, Bradford City, Brentford, Brighton, Bristol City, Bristol Rovers, Burnley, Burton Albion, Cambridge United, Cardiff City, Carlisle United, Celtic, Charlton Athletic, Chelsea, Cheltenham Town, Colchester United, Coventry City, Crawley Town, Crewe Alexandra, Crystal Palace, Derby County, Doncaster Rovers, Dundee, Everton, Exeter City, Fleetwood Town, Forest Green Rovers, Fulham, Gillingham, Grimsby Town, Harrogate Town, Heart of Midlothian, Hibernian, Huddersfield Town, Hull City, Ipswich Town, Kilmarnock, Leeds United, Leicester City, Leyton Orient, Lincoln City, Liverpool, Livingston, Luton Town, MK Dons, Manchester City, Manchester United, Mansfield Town, Middlesbrough , Millwall, Morecambe, Motherwell, Newcastle United, Newport County, Northampton Town, Norwich City, Nottingham Forest, Notts County, Oxford United, Peterborough United, Plymouth Argyle, Port Vale, Portsmouth, Preston North End, Queens Park Rangers, Rangers, Reading, Ross County, Rotherham United, Salford City, Sheffield United, Sheffield Wednesday, Shrewsbury Town, Southampton, St Johnstone, St Mirren, Stevenage Borough, Stockport County, Stoke City, Sunderland, Sutton United, Swansea City, Swindon Town, Tottenham Hotspur, Tranmere Rovers, Walsall, Watford, West Bromwich Albion, West Ham, Wigan Athletic, Wolverhampton Wanderers, Wrexham, Wycombe Wanderers
 Shrewsbury Town,,,,,,,,,,,,,,M40,,M5,M5,,,,,,,,M40,,,,,,,,,,,,,,M40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M40,,,,,,,,X,,,,,,,,,,,,,M54,,M54,,,M54,,M40
 Southampton,M3,,,M3,,,,,,,,,,M3,,M4,M4,,,,M4,,,,M3,,,,,,M3,,,,,,,,M3,,,M1,,,,,,,M1,,,,,,M3,,,,,,M3,,,,M4,,,,,,,,,M27,,M3,,M3,,,,,,,X,,,M3,,,,M3,,,M3,,,M3,,,,,,
 St Johnstone,,A90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A90,,,,,,,,,M90,M90,,,,,,,,,,M90,,,,,,,,,,,,,,,,,,,,,,,,,A9,,,,,,,X,,,,,,,,,,,,,,,,,,
 St Mirren,,,,,,,,,,,,,,,,,,,,,,,M8,,,,,,,,,,,,,,,,,,,,M8,M8,,,,M77,,,,,,,,,,,,,,,M74,,,,,,,,,,,,,,M8,,A9,,,,,,,,X,,,,,,,,,,,,,,,,,
 Stevenage Borough,,,,,,,,,,,,,,,,M4,M4,,M1,,M4,,,,,,,M1,M25,,,M1,,,,,,,,,,,,,,,A14,,,M1,,,,,,,,,,,,,,,M4,M1,,,,,,,,,,,,,,,,,,,M3,,,X,,,,,,M4,,,,,,,,,,
 Stockport County,,,,,M6,,,M6,,,M60,,M62,,,,,,,,,M6,,,,,,,,,,,,,,,,,,,,,,,,M62,,,M62,,,,M62,,,,,M60,,,,,,A1(M),,M6,,,,,,,,,M61,,,,,,M60,A57,,,,,,,X,,,,,,,M56,M6,,M6,,,M6,M56,
 Stoke City,,,M6,,M6,,,,M6,M6,,,,M40,,M5,M5,,,,,M6,,,M40,,,,,A500,,,,,,,M6,,M40,,,,,,,,,,,,,,M6,,,,,,,,,M6,,,,,,,,,,,A500,,M6,M40,,,,,M6,,,,,,,,,X,,,,,,,M6,,M6,,M6,M6,,M40
 Sunderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,M1,,,,,,M1,,,,,,
 Sutton United,,,,,M40,M1,,M40,,,,M3,M1,,,M4,M4,,M1,,M4,,,,,,,,,,,M1,M1,,,,,,,,,M1,,,M1,M1,,,M1,M1,,,,,M25,,,,M1,M1,,,,M1,M4,,,M1,M1,,,,,A3,,,,,,M1,,M1,M1,,M3,,,,,,M1,X,M4,M4,,,M40,M25,M40,,,M40,,
 Swansea City,M4,,,M4,,,,,,,,,,M4,,M4,M4,,,,M4,,,M4,M4,M4,,,,,M4,,,,,,,M4,M4,,,,,,,,,,,,,,,,,,,,,,M4,,,,M4,,,,,,,,,,,M4,,M4,,,,,,,,,,,,,,M4,X,M4,M4,,,M4,,M4,,,,M4
