Name,City,Country,Latitude,Longtiude,Status,Visited
Hard Rock Cafe Hollywood Blvd. (Los Angeles),Hollywood Blvd. (Los Angeles),USA,34.10190445,-118.3404863,OPEN,Y
"Hard Rock Cafe Hollywood, FL","Hollywood, FL",USA,26.05274579,-80.2112158,OPEN,Y
Hard Rock Cafe Honolulu,Honolulu,USA,21.28112121,-157.8307348,OPEN,N
Hard Rock Cafe Hyderabad Hitech City,Hyderabad Hitech City,India,17.43386562,78.3829458,OPEN,N
Hard Rock Cafe Hyderabad,Hyderabad,India,17.42510131,78.44956618,OPEN,N
Hard Rock Cafe Iguazu Airport,Iguazu Airport,Argentina,-25.73125345,-54.47683733,OPEN,N
Hard Rock Cafe Iguazu,Iguazu,Argentina,-25.59275653,-54.57303878,OPEN,N
Hard Rock Cafe Innsbruck,Innsbruck,Austria,47.26601069,11.39378762,OPEN,N
Hard Rock Cafe Ipoh,Ipoh,Malaysia,4.593440924,101.0864778,OPEN,N
Hard Rock Cafe Istanbul,Istanbul,Turkey,41.03386868,28.97696039,CLOSED,Y
"Hard Rock Cafe Jiuzhaigou, China",Jiuzhaigou,China,33.28930441,103.875701,OPEN,N
Hard Rock Cafe Johannesburg,Johannesburg,South Africa,-26.10782441,28.05495694,OPEN,N
Hard Rock Cafe Kathmandu,Kathmandu,Nepal,27.71073492,85.3178639,OPEN,N
Hard Rock Cafe Key West,Key West,USA,24.55807181,-81.80393769,OPEN,N
Hard Rock Cafe Kolkata,Kolkata,India,22.55247313,88.35325241,OPEN,N
Hard Rock Cafe Krakow,Krakow,Poland,50.06159507,19.93878294,OPEN,N
Hard Rock Cafe Kuala Lumpur International Airport,Kuala Lumpur International Airport,Malaysia,2.747327094,101.7139183,OPEN,N
Hard Rock Cafe Kuala Lumpur,Kuala Lumpur,Malaysia,3.155816883,101.7053882,OPEN,N
Hard Rock Cafe Kyoto,Kyoto,Japan,35.0038847,135.7730091,OPEN,Y
Hard Rock Cafe Lagos,Lagos,Nigeria,6.42335141,3.444461643,OPEN,N
Hard Rock Cafe La Paz,La Paz,Bolivia,-16.54049266,-68.08390432,OPEN,N
Hard Rock Cafe Las Vegas ,Las Vegas (The Strip),USA,36.10438221,-115.1722944,OPEN,Y
Hard Rock Cafe Lisbon,Lisbon,Portugal,38.71676557,-9.141841899,OPEN,Y
Hard Rock Cafe London,London,UK,51.50413881,-0.149758636,OPEN,Y
Hard Rock Cafe Madrid,Madrid,Spain,40.41860847,-3.705121265,CLOSED,Y
Hard Rock Cafe Makati,Makati,Philippines,14.55258362,121.0253658,OPEN,N
Hard Rock Cafe Malaga,Malaga,Spain,36.71842995,-4.412772153,OPEN,N
Hard Rock Cafe Maldives,Maldives,Maldives,4.122588207,73.4663892,OPEN,N
Hard Rock Cafe Mallorca Airport,Mallorca,Spain,39.55050458,2.732202474,OPEN,Y
Hard Rock Cafe Mallorca,Mallorca,Spain,39.57184752,2.635042758,OPEN,Y
Hard Rock Cafe Malta Airport,Malta,Malta,35.84958055,14.49482508,OPEN,N
Hard Rock Cafe Malta,Malta,Malta,35.89118039,14.5082042,OPEN,Y
Hard Rock Cafe Manchester,Manchester,UK,53.48511237,-2.241256949,OPEN,Y
Hard Rock Cafe Manila,Manila,Philippines,14.53284417,120.9802718,OPEN,Y
Hard Rock Cafe Melaka,Melaka,Malaysia,2.195096889,102.2487181,OPEN,N
Hard Rock Cafe Miami,Miami,USA,25.7777231,-80.18447172,OPEN,N
Hard Rock Cafe Milan,Milan,Italy,45.46641418,9.184663378,OPEN,N
Hard Rock Cafe Montevideo,Montevideo,Uruguay,-34.90972148,-56.13349826,OPEN,N
Hard Rock Cafe Montreal,Montreal,Canada,45.51531628,-73.55864665,CLOSED,Y
Hard Rock Cafe Munich,Munich,Germany,48.13783996,11.57960765,OPEN,Y
Hard Rock Cafe Myrtle Beach,Myrtle Beach,USA,33.71758501,-78.88135091,OPEN,N
Hard Rock Cafe Nabq,Nabq,Egypt,28.0435788,34.43038253,OPEN,N
Hard Rock Cafe Nashville,Nashville,USA,36.16266242,-86.77508474,OPEN,Y
Hard Rock Cafe New Delhi,New Delhi,India,28.62934613,77.21973509,OPEN,N
Hard Rock Cafe New Orleans,New Orleans,USA,29.95477251,-90.069339,OPEN,Y
Hard Rock Cafe New York,New York,USA,40.75714079,-73.98662193,OPEN,Y
Hard Rock Cafe Niagara Falls Canada,Niagara Falls Canada,Canada,43.09147617,-79.07194215,OPEN,Y
Hard Rock Cafe Niagara Falls USA,Niagara Falls USA,USA,43.08692383,-79.06448638,OPEN,Y
Hard Rock Cafe Northern Indiana,Northern Indiana,USA,41.5684033,-87.40671692,OPEN,N
Hard Rock Cafe Orlando,Orlando,USA,28.4738131,-81.46762537,OPEN,Y
